class,species
0,Abaeis nicippe
1,Achalarus casica
2,Achalarus lyciades
3,Achalarus toxeus
4,Adelpha californica
5,Adelpha eulalia
6,Adelpha fessonia
7,Agathymus aryxna
8,Agathymus evansi
9,Aglais io
10,Aglais milberti
11,Agraulis vanillae
12,Aguna asander
13,Allosmaitia strophius
14,Amblyscirtes aenus
15,Amblyscirtes aesculapius
16,Amblyscirtes alternata
17,Amblyscirtes belli
18,Amblyscirtes carolina
19,Amblyscirtes cassus
20,Amblyscirtes celia
21,Amblyscirtes eos
22,Amblyscirtes exoteria
23,Amblyscirtes fimbriata
24,Amblyscirtes hegon
25,Amblyscirtes nereus
26,Amblyscirtes nysa
27,Amblyscirtes oslari
28,Amblyscirtes reversa
29,Amblyscirtes tolteca
30,Amblyscirtes vialis
31,Anaea aidea
32,Anaea andria
33,Anartia fatima
34,Anartia jatrophae
35,Anastrus sempiternus
36,Anatrytone logan
37,Ancyloxypha arene
38,Ancyloxypha numitor
39,Anteos clorinde
40,Anteos maerula
41,Anthanassa argentea
42,Anthanassa ptolyca
43,Anthanassa texana
44,Anthanassa tulcis
45,Anthocharis cethura
46,Anthocharis lanceolata
47,Anthocharis midea
48,Anthocharis sara
49,Anthocharis stella
50,Aphrissa statira
51,Apodemia mejicanus
52,Apodemia mormo
53,Apodemia nais
54,Apodemia palmerii
55,Apodemia virgulti
56,Apodemia walkeri
57,Apyrrothrix araxes
58,Asbolis capucinus
59,Ascia monuste
60,Asterocampa celtis
61,Asterocampa clyton
62,Asterocampa leilia
63,Astraptes anaphus
64,Astraptes fulgerator
65,Atalopedes campestris
66,Atlides halesus
67,Atrytone arogos
68,Atrytonopsis cestus
69,Atrytonopsis deva
70,Atrytonopsis edwardsi
71,Atrytonopsis hianna
72,Atrytonopsis loammi
73,Atrytonopsis lunus
74,Atrytonopsis pittacus
75,Atrytonopsis python
76,Autochton cellus
77,Battus philenor
78,Battus polydamas
79,Biblis hyperia
80,Boloria alaskensis
81,Boloria alberta
82,Boloria astarte
83,Boloria bellona
84,Boloria chariclea
85,Boloria epithore
86,Boloria eunomia
87,Boloria freija
88,Boloria frigga
89,Boloria improba
90,Boloria kriemhild
91,Boloria myrina
92,Boloria polaris
93,Brephidium exilis
94,Brephidium pseudofea
95,Cabares potrillo
96,Calephelis arizonensis
97,Calephelis borealis
98,Calephelis nemesis
99,Calephelis perditalis
100,Calephelis rawsoni
101,Calephelis virginiensis
102,Calephelis wrighti
103,Callophrys affinis
104,Callophrys augustinus
105,Callophrys comstocki
106,Callophrys dumetorum
107,Callophrys eryphon
